#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus
ASV2397	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2399	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Candidatus_Solibacter
ASV2418	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2421	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12_Beijerinckiaceae
ASV2422	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella
ASV2423	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Candidatus_Solibacter
ASV2424	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	genus_Nostocaceae
ASV2425	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidipila
ASV2450	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2451	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	genus_WD2101_soil_group
ASV2476	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2499	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	genus_Burkholderiaceae
ASV2500	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans
ASV2504	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera
ASV2505	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	genus_Alphaproteobacteria
ASV2525	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans
ASV2528	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella
ASV2557	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium
ASV2559	Bacteria	WPS-2	NA	NA	NA	genus_WPS-2
ASV2560	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter
ASV2579	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2580	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	genus_Beijerinckiaceae
ASV2581	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidicapsa
ASV2582	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus
ASV2612	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	genus_Streptomycetaceae
ASV2614	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas
ASV2615	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella
ASV2616	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera
ASV2642	Bacteria	Actinobacteria	Actinobacteria	Frankiales	NA	genus_Frankiales
ASV2643	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella
ASV2644	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	genus_Burkholderiaceae
ASV2646	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2670	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12_Beijerinckiaceae
ASV2671	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans
ASV2672	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisphaera
ASV2704	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2707	Bacteria	Armatimonadetes	NA	NA	NA	genus_Armatimonadetes
ASV2708	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2738	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera
ASV2739	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas
ASV2740	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	genus_Acetobacteraceae
ASV2762	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella
ASV2763	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	NA	genus_IMCC26256
